LinkID,RoadName,RoadCategory,SpeedBand,MinimumSpeed,MaximumSpeed,StartLon,StartLat,EndLon,EndLat
103000135,CAMP ROAD,D,4,30,39,103.8193666357108,1.3019259729917443,103.8192445570385,1.3023326560971626
103000138,LENGKOK MERAK,E,6,50,59,103.82562409886084,1.3019154913408086,103.82556786730588,1.3021005061138486
103000139,LENGKOK MERAK,E,1,0,9,103.82556786730588,1.3021005061138486,103.82562409886084,1.3019154913408086
103000142,TANGLIN WALK,E,4,30,39,103.81714881291575,1.30277750949525,103.81671018445115,1.301902777906714
103000143,TANGLIN WALK,E,4,30,39,103.81671018445115,1.301902777906714,103.81714881291575,1.30277750949525
103000146,TANGLIN HILL,E,3,20,29,103.81671018445115,1.301902777906714,103.81636988608547,1.3020760157371165
103000147,TANGLIN HILL,E,4,30,39,103.81636988608547,1.3020760157371165,103.81671018445115,1.301902777906714
103000148,SOPHIA ROAD,E,8,70,999,103.84753501033079,1.3020505931348514,103.84742450630118,1.3018924565367096
103000152,ADIS ROAD,E,5,40,49,103.84742450630118,1.3018924565367096,103.84735684695016,1.3020981998994814
103000156,KRAMAT ROAD,B,4,30,39,103.84120126880777,1.3018714301953633,103.84059908315483,1.3024590972915757
103000162,AKYAB ROAD,E,4,30,39,103.84782453064221,1.3223315936500188,103.84825791705197,1.323225112339397
103000163,AKYAB ROAD,E,5,40,49,103.84825791705197,1.323225112339397,103.84782453064221,1.3223315936500188
103000166,OXFORD ROAD,E,3,20,29,103.8525278217439,1.3158766228467986,103.853008273284,1.3154336431941307
103000167,OXFORD ROAD,E,4,30,39,103.853008273284,1.3154336431941307,103.8525278217439,1.3158766228467986
103000170,KEMPAS ROAD,E,8,70,999,103.85944206093603,1.315899168782131,103.85980837679445,1.3154021442041506
103000171,KEMPAS ROAD,E,6,50,59,103.85980837679445,1.3154021442041506,103.85944206093603,1.315899168782131
103000174,JALAN KORMA,E,8,70,999,103.84426743639843,1.3157770120574521,103.84390320841796,1.3156603053759763
103000175,JALAN KORMA,E,8,70,999,103.84390320841796,1.3156603053759763,103.84426743639843,1.3157770120574521
103000176,STEVENS ROAD,F,5,40,49,103.83345390955975,1.3098922536055888,103.83404900921593,1.3097312042342106
103000182,ARDMORE PARK,D,3,20,29,103.82839685211003,1.3095892684441353,103.82879350703922,1.3097460950865234
103000183,ARDMORE PARK,D,3,20,29,103.82879350703922,1.3097460950865234,103.82839685211003,1.3095892684441353
103000186,ARDMORE PARK,D,4,30,39,103.82839685211003,1.3095892684441353,103.82740509577657,1.3102253421678596
103000187,ARDMORE PARK,D,3,20,29,103.82740509577657,1.3102253421678596,103.82839685211003,1.3095892684441353
103000190,ANTHONY ROAD,E,3,20,29,103.8376076936921,1.310468565405978,103.8362897642633,1.3095693665135413
103000191,ANTHONY ROAD,E,4,30,39,103.8362897642633,1.3095693665135413,103.8376076936921,1.310468565405978
103000194,CAIRNHILL ROAD,C,3,20,29,103.8362897642633,1.3095693665135413,103.83555854453066,1.310692335045372
103000195,CAIRNHILL ROAD,C,4,30,39,103.83555854453066,1.310692335045372,103.8362897642633,1.3095693665135413
103000198,KEMPAS ROAD,E,4,30,39,103.85925389319206,1.3156794372910703,103.85944206093603,1.315899168782131
103000199,KEMPAS ROAD,E,6,50,59,103.85944206093603,1.315899168782131,103.85925389319206,1.3156794372910703
103000202,ANG MO KIO AVENUE 4,C,3,20,29,103.83969577191468,1.3778764702530613,103.8395587643731,1.377082366481272
103000203,ANG MO KIO AVENUE 4,C,2,10,19,103.8395587643731,1.377082366481272,103.83969577191468,1.3778764702530613
103000206,ANG MO KIO AVENUE 4,C,3,20,29,103.83946526641823,1.3765237228546703,103.8395587643731,1.377082366481272
103000207,ANG MO KIO AVENUE 4,C,3,20,29,103.8395587643731,1.377082366481272,103.83946526641823,1.3765237228546703
103000210,ANG MO KIO AVENUE 4,C,3,20,29,103.83770121892717,1.3835254500944634,103.83781517599795,1.38338023612439
103000211,ANG MO KIO AVENUE 4,C,4,30,39,103.83781517599795,1.38338023612439,103.83770121892717,1.3835254500944634
103000214,ANG MO KIO AVENUE 4,C,3,20,29,103.83781517599795,1.38338023612439,103.83863653439964,1.3822793699880447
103000215,ANG MO KIO AVENUE 4,C,3,20,29,103.83863653439964,1.3822793699880447,103.83781517599795,1.38338023612439
103000218,ANG MO KIO AVENUE 4,C,4,30,39,103.83732856251386,1.3840112390167347,103.83770121892717,1.3835254500944634
103000219,ANG MO KIO AVENUE 4,C,4,30,39,103.83770121892717,1.3835254500944634,103.83732856251386,1.3840112390167347
103000222,ANG MO KIO AVENUE 8,C,5,40,49,103.84756217854924,1.3777027981180603,103.84765705588656,1.3771978910136298
103000223,ANG MO KIO AVENUE 8,C,4,30,39,103.84765705588656,1.3771978910136298,103.84756217854924,1.3777027981180603
103000226,ANG MO KIO AVENUE 8,C,5,40,49,103.84765705588656,1.3771978910136298,103.84773795161581,1.376730487972268
103000227,ANG MO KIO AVENUE 8,C,3,20,29,103.84773795161581,1.376730487972268,103.84765705588656,1.3771978910136298
103000228,DORSET ROAD,D,4,30,39,103.85032404665321,1.3133901063939397,103.84974217909104,1.3129765172117367
103000234,ANG MO KIO AVENUE 9,D,4,30,39,103.84313695546383,1.3839740978654103,103.8424480441498,1.3838894069258951
103000235,ANG MO KIO AVENUE 9,D,4,30,39,103.8424480441498,1.3838894069258951,103.84313695546383,1.3839740978654103
103000238,NORFOLK ROAD,B,5,40,49,103.84888640803763,1.317103654150258,103.84775689847758,1.3164233526759435
103000239,NORFOLK ROAD,B,6,50,59,103.84775689847758,1.3164233526759435,103.84888640803763,1.317103654150258
103000242,ANG MO KIO AVENUE 4,C,4,30,39,103.83811376463666,1.3748784522832425,103.8390063090149,1.3755371440113777
103000243,ANG MO KIO AVENUE 4,C,4,30,39,103.8390063090149,1.3755371440113777,103.83811376463666,1.3748784522832425
103000246,NASSIM ROAD,D,2,10,19,103.82143582576197,1.3112406329656845,103.82204317904964,1.3118940935550105
103000247,NASSIM ROAD,D,3,20,29,103.82204317904964,1.3118940935550105,103.82143582576197,1.3112406329656845
103000254,BALMORAL PARK,E,3,20,29,103.82959840334954,1.3134139917128311,103.82975943310102,1.3129593497249092
103000255,BALMORAL PARK,E,4,30,39,103.82975943310102,1.3129593497249092,103.82959840334954,1.3134139917128311
103000258,STEVENS ROAD,C,3,20,29,103.82911750896497,1.3131328782183662,103.82975943310102,1.3129593497249092
103000259,STEVENS ROAD,C,3,20,29,103.82975943310102,1.3129593497249092,103.82911750896497,1.3131328782183662
103000260,PETAIN ROAD,E,4,30,39,103.85727722633219,1.3128994765010902,103.85667709880157,1.3134069573818214
103000266,BALMORAL ROAD,D,3,20,29,103.8305390230549,1.3135704480430792,103.82975943310102,1.3129593497249092
103000267,BALMORAL ROAD,D,3,20,29,103.82975943310102,1.3129593497249092,103.8305390230549,1.3135704480430792
103000270,STEVENS ROAD,C,4,30,39,103.82975943310102,1.3129593497249092,103.82979421597224,1.3129482532197405
103000271,STEVENS ROAD,C,3,20,29,103.82979421597224,1.3129482532197405,103.82975943310102,1.3129593497249092
103000276,KAMPONG JAVA ROAD,F,4,30,39,103.84591215724936,1.3131522033523786,103.8453609319561,1.3129397527298754
103000282,KAMPONG JAVA ROAD,B,8,70,999,103.8435107552494,1.3128915402722743,103.8434271564376,1.3134502209463657
103000283,KAMPONG JAVA ROAD,B,8,70,999,103.8434271564376,1.3134502209463657,103.8435107552494,1.3128915402722743
103000290,RACE COURSE ROAD,D,3,20,29,103.85513650754488,1.3133115247400988,103.85467601502488,1.3128657945370725
103000291,RACE COURSE ROAD,D,4,30,39,103.85467601502488,1.3128657945370725,103.85513650754488,1.3133115247400988
103000292,LORONG 3 GEYLANG,E,3,20,29,103.8745843404284,1.3112814046832442,103.8740481840283,1.3128669001147928
103000298,GOODWOOD HILL,E,3,20,29,103.83361404903052,1.311265024985496,103.83387874363073,1.3114126715258738
103000299,GOODWOOD HILL,E,8,70,999,103.83387874363073,1.3114126715258738,103.83361404903052,1.311265024985496
103000300,STEVENS ROAD,F,3,20,29,103.83315772987676,1.3115941685350712,103.83361404903052,1.311265024985496
103000306,NASSIM ROAD,D,3,20,29,103.82143582576197,1.3112406329656845,103.8212526635276,1.3116597146848918
103000307,NASSIM ROAD,D,3,20,29,103.8212526635276,1.3116597146848918,103.82143582576197,1.3112406329656845
103000310,RUTLAND ROAD,E,4,30,39,103.84910566257994,1.311229840433147,103.84973058015619,1.311802597676934
103000311,RUTLAND ROAD,E,8,70,999,103.84973058015619,1.311802597676934,103.84910566257994,1.311229840433147
103000312,RUTLAND ROAD,E,3,20,29,103.8488917458808,1.3113680558354108,103.84910566257994,1.311229840433147
103000316,OPHIR ROAD,F,6,50,59,103.86259120957735,1.292423970537279,103.8623028359393,1.2912349150968774
103000324,RAFFLES BOULEVARD,F,4,30,39,103.86236811495664,1.2912309351425506,103.86295353079224,1.2918238027402373
103000330,ANG MO KIO AVENUE 4,C,4,30,39,103.83737872197739,1.3739406188810974,103.83811376463666,1.3748784522832425
103000331,ANG MO KIO AVENUE 4,C,3,20,29,103.83811376463666,1.3748784522832425,103.83737872197739,1.3739406188810974
103000334,ANG MO KIO AVENUE 8,C,3,20,29,103.84946957875535,1.3694747355079808,103.84972450005914,1.369024197584065
103000335,ANG MO KIO AVENUE 8,C,3,20,29,103.84972450005914,1.369024197584065,103.84946957875535,1.3694747355079808
103000338,ANG MO KIO AVENUE 8,C,4,30,39,103.84885708436424,1.370561839669548,103.84934676362796,1.3696927152524048
103000339,ANG MO KIO AVENUE 8,C,4,30,39,103.84934676362796,1.3696927152524048,103.84885708436424,1.370561839669548
103000342,ANG MO KIO AVENUE 8,C,3,20,29,103.84934676362796,1.3696927152524048,103.84946957875535,1.3694747355079808
103000343,ANG MO KIO AVENUE 8,C,4,30,39,103.84946957875535,1.3694747355079808,103.84934676362796,1.3696927152524048
103000346,BEDOK NORTH AVENUE 1,C,3,20,29,103.92722444692839,1.3239673531148124,103.92726159815368,1.3236245437060072
103000347,BEDOK NORTH AVENUE 1,C,3,20,29,103.92726159815368,1.3236245437060072,103.92722444692839,1.3239673531148124
103000350,BEDOK NORTH AVENUE 1,C,4,30,39,103.92720949943045,1.3240846767490342,103.9271573268364,1.3244923386287593
103000351,BEDOK NORTH AVENUE 1,C,4,30,39,103.9271573268364,1.3244923386287593,103.92720949943045,1.3240846767490342
